23:54:19 autowsgr  INFO  | 资源加载成功
23:55:05 autowsgr  DEBUG | ("当前最优：['', 'U-1206', 'M-296', '', '', '', '']",)
23:55:05 autowsgr  DEBUG | ("拥有舰船: {'M-296', 'U-1206'}",)
23:55:05 autowsgr  DEBUG | ("当前最优：['', 'U-1206', 'M-296', '', '', '', '']",)
23:55:06 autowsgr  DEBUG | ('click (0.703 0.926)',)
23:55:08 autowsgr  DEBUG | ("编队更改为：['', 'U-1206', 'M-296', '', '', '', '']",)
23:55:08 autowsgr  INFO  | 舰船识别结果为: [None, None, None, None, None, None, None]
23:55:08 autowsgr  INFO  | 等级识别结果: [None, None, None, None, None, None, None]
23:55:08 autowsgr  DEBUG | ('更改1号位舰船为 U-1206',)
23:55:08 autowsgr  DEBUG | ('click (0.058 0.411)',)
23:55:10 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(243.0), np.float64(35.0)), '0-1206', np.float64(0.7209308848468043)), ((np.float64(524.0), np.float64(35.0)), 'M-296', np.float64(0.940176855886271))]",)
23:55:10 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(121.0), np.float64(17.0)], 'U-1206', np.float64(0.7209308848468043)), ([np.float64(262.0), np.float64(17.0)], 'M-296', np.float64(0.940176855886271))]",)
23:55:10 autowsgr  INFO  | 更改编队可用舰船：['U-1206', 'M-296']
23:55:10 autowsgr  DEBUG | ('click (0.095 0.503)',)
23:55:12 autowsgr  DEBUG | ('更改2号位舰船为 M-296',)
23:55:12 autowsgr  DEBUG | ('click (0.175 0.411)',)
23:55:13 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(243.0), np.float64(35.0)), 'M-296', np.float64(0.880613738096401))]",)
23:55:13 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(121.0), np.float64(17.0)], 'M-296', np.float64(0.880613738096401))]",)
23:55:13 autowsgr  INFO  | 更改编队可用舰船：['M-296']
23:55:13 autowsgr  DEBUG | ('click (0.095 0.503)',)
23:55:16 autowsgr  DEBUG | ('ship_stats:', [-1, 1, 0, -1, -1, -1, -1])
23:55:16 autowsgr  DEBUG | ('click (0.438 0.778)',)
23:55:18 autowsgr  DEBUG | ('click (0.102 0.418)',)
23:55:20 autowsgr  INFO  | WorkInfo:{}
23:55:20 autowsgr  INFO  | 1 Repaired
23:55:20 autowsgr  DEBUG | ('click (0.058 0.596)',)
23:55:22 autowsgr  DEBUG | ('click (0.938 0.926)',)
23:55:23 autowsgr  DEBUG | ('waiting:', ['spot_enemy_success', 'formation', 'fight_period'], '  ')
23:55:23 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:55:24 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:55:24 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:55:24 autowsgr  INFO  | matched: spot_enemy_success
23:55:24 autowsgr  DEBUG | ("enemys:{'NAP': 4, 'CL': 2, 'AP': 4, 'ALL': 6}",)
23:55:25 autowsgr  DEBUG | ('click (0.891 0.928)',)
23:55:25 autowsgr  DEBUG | ('waiting:', ['formation', 'fight_period'], '  ')
23:55:27 autowsgr  INFO  | matched: fight_period
23:55:27 autowsgr  DEBUG | ('waiting:', ['night', 'result'], '  ')
23:55:40 autowsgr  INFO  | matched: result
23:55:42 autowsgr  DEBUG | ('click (0.953 0.954)',)
23:55:42 autowsgr  DEBUG | ('click (0.953 0.954)',)
23:55:43 autowsgr  DEBUG | ('click (0.953 0.954)',)
23:55:45 autowsgr  DEBUG | ('waiting:', ['battle_page'], '  ')
23:55:45 autowsgr  INFO  | matched: battle_page
23:55:45 autowsgr  INFO  | [-1, 0, 0, -1, -1, -1, -1]
23:55:46 autowsgr  DEBUG | ('click (0.312 0.417)',)
23:55:47 autowsgr  DEBUG | ('click (0.501 0.851)',)
23:55:49 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(70.0), np.float64(34.0)), '8', np.float64(0.9999897480273745))]",)
23:55:49 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(35.0), np.float64(17.0)], '8', np.float64(0.9999897480273745))]",)
23:55:49 autowsgr  DEBUG | ('数字解析结果：[([np.float64(35.0), np.float64(17.0)], 8, np.float64(0.9999897480273745))]',)
23:55:49 autowsgr  DEBUG | ('当前可用费用为：8',)
23:55:49 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(193.0), np.float64(32.0)), 'x4', np.float64(0.8397101215605505)), ((np.float64(513.0), np.float64(32.0)), 'x4', np.float64(0.8474434970655087)), ((np.float64(834.0), np.float64(32.0)), 'x6', np.float64(0.9816185545606039)), ((np.float64(1154.0), np.float64(33.0)), 'x6', np.float64(0.9727009137688561)), ((np.float64(1231.0), np.float64(3.0)), '', np.float64(0.0)), ((np.float64(1474.0), np.float64(32.0)), 'x2', np.float64(0.8532537142395252))]",)
23:55:49 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(96.0), np.float64(16.0)], 'x4', np.float64(0.8397101215605505)), ([np.float64(256.0), np.float64(16.0)], 'x4', np.float64(0.8474434970655087)), ([np.float64(417.0), np.float64(16.0)], 'x6', np.float64(0.9816185545606039)), ([np.float64(577.0), np.float64(16.0)], 'x6', np.float64(0.9727009137688561)), ([np.float64(737.0), np.float64(16.0)], 'x2', np.float64(0.8532537142395252))]",)
23:55:49 autowsgr  DEBUG | ('数字解析结果：[([np.float64(96.0), np.float64(16.0)], 4, np.float64(0.8397101215605505)), ([np.float64(256.0), np.float64(16.0)], 4, np.float64(0.8474434970655087)), ([np.float64(417.0), np.float64(16.0)], 6, np.float64(0.9816185545606039)), ([np.float64(577.0), np.float64(16.0)], 6, np.float64(0.9727009137688561)), ([np.float64(737.0), np.float64(16.0)], 2, np.float64(0.8532537142395252))]',)
23:55:49 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '瑞凤', np.float64(0.6949052926460559))]",)
23:55:49 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '瑞凤', np.float64(0.6949052926460559))]",)
23:55:49 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(149.0), 20.5), '祥凤', np.float64(0.9768385724973037))]",)
23:55:49 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(74.0), 10.0], '祥凤', np.float64(0.9768385724973037))]",)
23:55:49 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(145.0), 20.5), 'V方案', np.float64(0.8406781532566324))]",)
23:55:49 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], 'V方案', np.float64(0.8406781532566324))]",)
23:55:49 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(143.0), 20.5), '伊利诺伊', np.float64(0.9731298685073853))]",)
23:55:49 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(71.0), 10.0], '伊利诺伊', np.float64(0.9731298685073853))]",)
23:55:49 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(147.0), 20.5), '抱头蹲防', np.float64(0.9458858966827393))]",)
23:55:49 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '抱头蹲防', np.float64(0.9458858966827393))]",)
23:55:49 autowsgr  DEBUG | ('可购买舰船：', {'瑞凤': (4, (0.25, 0.5)), '祥凤': (4, (0.375, 0.5)), 'V方案': (6, (0.5, 0.5)), '伊利诺伊': (6, (0.625, 0.5)), '抱头蹲防': (2, (0.75, 0.5))})
23:55:49 autowsgr  DEBUG | ('click (0.396 0.926)',)
23:55:50 autowsgr  INFO  | 刷新备选舰船
23:55:51 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(70.0), np.float64(34.0)), '8', np.float64(0.9999897480273745))]",)
23:55:51 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(35.0), np.float64(17.0)], '8', np.float64(0.9999897480273745))]",)
23:55:51 autowsgr  DEBUG | ('数字解析结果：[([np.float64(35.0), np.float64(17.0)], 8, np.float64(0.9999897480273745))]',)
23:55:51 autowsgr  DEBUG | ('当前可用费用为：8',)
23:55:51 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(193.0), np.float64(32.0)), 'x4', np.float64(0.8397101215605505)), ((np.float64(513.0), np.float64(32.0)), 'x4', np.float64(0.8474434970655087)), ((np.float64(834.0), np.float64(32.0)), 'x6', np.float64(0.9816185545606039)), ((np.float64(1154.0), np.float64(32.0)), 'x5', np.float64(0.993436644327183)), ((np.float64(1229.0), np.float64(4.0)), '', np.float64(0.0)), ((np.float64(1476.0), np.float64(33.0)), 'x3', np.float64(0.910325602292564))]",)
23:55:51 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(96.0), np.float64(16.0)], 'x4', np.float64(0.8397101215605505)), ([np.float64(256.0), np.float64(16.0)], 'x4', np.float64(0.8474434970655087)), ([np.float64(417.0), np.float64(16.0)], 'x6', np.float64(0.9816185545606039)), ([np.float64(577.0), np.float64(16.0)], 'x5', np.float64(0.993436644327183)), ([np.float64(738.0), np.float64(16.0)], 'x3', np.float64(0.910325602292564))]",)
23:55:51 autowsgr  DEBUG | ('数字解析结果：[([np.float64(96.0), np.float64(16.0)], 4, np.float64(0.8397101215605505)), ([np.float64(256.0), np.float64(16.0)], 4, np.float64(0.8474434970655087)), ([np.float64(417.0), np.float64(16.0)], 6, np.float64(0.9816185545606039)), ([np.float64(577.0), np.float64(16.0)], 5, np.float64(0.993436644327183)), ([np.float64(738.0), np.float64(16.0)], 3, np.float64(0.910325602292564))]',)
23:55:51 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '瑞凤', np.float64(0.6949052926460559))]",)
23:55:51 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '瑞凤', np.float64(0.6949052926460559))]",)
23:55:51 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(149.0), 20.5), '祥凤', np.float64(0.9768385724973037))]",)
23:55:51 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(74.0), 10.0], '祥凤', np.float64(0.9768385724973037))]",)
23:55:51 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(147.0), np.float64(21.0)), '0-47', np.float64(0.8000479936599731))]",)
23:55:51 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), np.float64(10.0)], 'U-47', np.float64(0.8000479936599731))]",)
23:55:51 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '伊-25', np.float64(0.981787919998169))]",)
23:55:51 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '伊-25', np.float64(0.981787919998169))]",)
23:55:51 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(147.0), 20.5), '黑科技', np.float64(0.9905099230686598))]",)
23:55:51 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '黑科技', np.float64(0.9905099230686598))]",)
23:55:51 autowsgr  DEBUG | ('可购买舰船：', {'瑞凤': (4, (0.25, 0.5)), '祥凤': (4, (0.375, 0.5)), 'U-47': (6, (0.5, 0.5)), '伊-25': (5, (0.625, 0.5)), '黑科技': (3, (0.75, 0.5))})
23:55:51 autowsgr  DEBUG | ('选择购买：U-47，花费：6，点击位置：(0.5, 0.5)',)
23:55:51 autowsgr  DEBUG | ('click (0.500 0.500)',)
23:55:52 autowsgr  DEBUG | ('click (0.604 0.926)',)
23:55:53 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(88.0), np.float64(23.5)), 'Lv.1(3/10)', np.float64(0.6575830838875065))]",)
23:55:53 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(44.0), np.float64(11.0)], 'Lv.1(3/10)', np.float64(0.6575830838875065))]",)
23:55:53 autowsgr  DEBUG | ('当前经验：3，升级需要经验：10',)
23:55:54 autowsgr  DEBUG | ('Ship_ICON position: (491.25, 98.25)',)
23:55:54 autowsgr  INFO  | 识别决战地图参数, 第 B 节点正在进行
23:55:54 autowsgr  DEBUG | ("拥有舰船: {'U-47', 'M-296', 'U-1206'}",)
23:55:54 autowsgr  DEBUG | ("当前最优：['', 'U-47', 'U-1206', 'M-296', '', '', '']",)
23:55:54 autowsgr  DEBUG | ("拥有舰船: {'U-47', 'M-296', 'U-1206'}",)
23:55:54 autowsgr  DEBUG | ("当前最优：['', 'U-47', 'U-1206', 'M-296', '', '', '']",)
23:55:55 autowsgr  DEBUG | ('click (0.703 0.926)',)
23:55:57 autowsgr  DEBUG | ("编队更改为：['', 'U-47', 'U-1206', 'M-296', '', '', '']",)
23:55:58 autowsgr  INFO  | 舰船识别结果为: [None, None, None, None, None, None, None]
23:55:58 autowsgr  INFO  | 等级识别结果: [None, None, None, None, None, None, None]
23:55:58 autowsgr  DEBUG | ('更改1号位舰船为 U-47',)
23:55:58 autowsgr  DEBUG | ('click (0.058 0.411)',)
23:56:00 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(525.0), np.float64(36.0)), '0.47', np.float64(0.6539052494213079))]",)
23:56:00 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(262.0), np.float64(18.0)], 'U-47', np.float64(0.6539052494213079))]",)
23:56:00 autowsgr  INFO  | 更改编队可用舰船：['U-47']
23:56:00 autowsgr  DEBUG | ('click (0.205 0.504)',)
23:56:01 autowsgr  DEBUG | ('更改2号位舰船为 U-1206',)
23:56:01 autowsgr  DEBUG | ('click (0.175 0.411)',)
23:56:03 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(524.0), np.float64(35.0)), '0-1206', np.float64(0.7722998948274119))]",)
23:56:03 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(262.0), np.float64(17.0)], 'U-1206', np.float64(0.7722998948274119))]",)
23:56:03 autowsgr  INFO  | 更改编队可用舰船：['U-1206']
23:56:03 autowsgr  DEBUG | ('click (0.205 0.503)',)
23:56:04 autowsgr  DEBUG | ('更改3号位舰船为 M-296',)
23:56:04 autowsgr  DEBUG | ('click (0.292 0.411)',)
23:56:06 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(243.0), np.float64(35.0)), 'M-296', np.float64(0.8456749686145808))]",)
23:56:06 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(121.0), np.float64(17.0)], 'M-296', np.float64(0.8456749686145808))]",)
23:56:06 autowsgr  INFO  | 更改编队可用舰船：['M-296']
23:56:06 autowsgr  DEBUG | ('click (0.095 0.503)',)
23:56:08 autowsgr  DEBUG | ('ship_stats:', [-1, 1, 0, 0, -1, -1, -1])
23:56:08 autowsgr  DEBUG | ('click (0.438 0.778)',)
23:56:11 autowsgr  INFO  | WorkInfo:{}
23:56:11 autowsgr  INFO  | 1 Repaired
23:56:11 autowsgr  DEBUG | ('click (0.058 0.596)',)
23:56:13 autowsgr  DEBUG | ('click (0.938 0.926)',)
23:56:14 autowsgr  DEBUG | ('waiting:', ['spot_enemy_success', 'formation', 'fight_period'], '  ')
23:56:14 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:56:14 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:56:14 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:56:15 autowsgr  INFO  | matched: spot_enemy_success
23:56:15 autowsgr  DEBUG | ("enemys:{'SS': 2, 'NAP': 3, 'CLT': 1, 'AP': 3, 'ALL': 6}",)
23:56:15 autowsgr  DEBUG | ('click (0.891 0.928)',)
23:56:16 autowsgr  DEBUG | ('waiting:', ['formation', 'fight_period'], '  ')
23:56:18 autowsgr  INFO  | matched: fight_period
23:56:18 autowsgr  DEBUG | ('waiting:', ['night', 'result'], '  ')
23:56:29 autowsgr  INFO  | matched: night
23:56:30 autowsgr  DEBUG | ('click (0.339 0.648)',)
23:56:32 autowsgr  DEBUG | ('waiting:', ['result'], '  ')
23:56:35 autowsgr  INFO  | matched: result
23:56:37 autowsgr  DEBUG | ('click (0.953 0.954)',)
